#SAMPLE	SMILES	Max_Rank	Max_Probability
SJ000551001-1	COc1cccc(-c2cc(O)n(-c3nc(C)cc(C)n3)n2)c1	1010	0.64000
SJ000551648-1	O=c1c2ccc(O)c(CN3CCOCC3)c2oc(C(F)(F)F)c1Oc1ccc2ccccc2c1	1009	0.96000
SJ000550669-1	COc1ccc(CCNCC(O)Cn2c3ccccc3c3ccccc32)cc1OC	1008	0.78000
SJ000550384-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cccc(OC)c1OC	1007	0.96000
SJ000550946-1	O=C1CC(c2c(F)cccc2Cl)C2=C(CC(c3ccc(F)cc3)CC2=O)N1	1007	0.94000
SJ000550963-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(F)cc2)C3)c(OC)cc1Br	1007	0.92000
SJ000550765-1	CCN1c2ccccc2S/C1=C\C=C\C=C\c1sc2ccccc2[n+]1CC(=O)O	1005	0.73000
SJ000550734-1	CC(C)N1CCN(Cc2cc(Br)ccc2O)CC1	1004	0.96000
SJ000550777-1	CC[n+]1c(/C=C/c2cc(C)n(-c3ccccc3)c2C)sc2ccccc21	1004	0.76000
SJ000550471-1	CCN(CC)CCn1c2ccccc2n(CC(O)COc2ccc(Cl)cc2)c1=N	1003	0.96000
SJ000551650-1	Cc1cc(Oc2c(=O)c3ccc(O)c(CN4CCOCC4)c3oc2C(F)(F)F)cc(C)c1Cl	1003	0.94000
SJ000550960-1	COc1ccc(OC)c(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)c1	1003	0.93667
SJ000550927-1	Cc1nn(-c2nc(C)cc(C)n2)c(O)c1Cc1ccccc1C	1002	0.63000
SJ000550473-1	CCCn1c2ccccc2n(CC(O)COc2ccc(Cl)cc2)c1=N	1001	0.96000
SJ000550962-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)c(OC)cc1Br	1001	0.94000
SJ000550732-1	Oc1ccc(Br)cc1CN1CCN(Cc2cccc3ccccc32)CC1	1000	0.96000
SJ000550382-1	CCCOc1ccccc1C1C(C(=O)OCC)=C(C)NC2=C1C(=O)CC(c1ccc(Cl)cc1)C2	1000	0.91000
SJ000550670-1	OC(Cn1c2ccccc2c2ccccc21)CN1CCN(c2ccccc2)CC1	999	0.95667
SJ000551686-1	O=c1c2ccc(O)c(CN3CCOCC3)c2oc(C(F)(F)F)c1Oc1ccccc1Cl	999	0.95000
SJ000550995-1	Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Nc1cc(Cl)ccc1Cl	998	0.95000
SJ000550843-1	Cc1ccccc1NCC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	997	0.91000
SJ000551349-1	Cc1ccc(NC(=O)c2nn(C)cc2I)cc1[N+](=O)[O-]	996	0.65000
SJ000487122-2	Cc1ccc(Nc2cc(C)nc(N3CCOCC3)n2)cc1	995	0.91000
SJ000550380-1	CCOc1cc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	993	0.90000
SJ000551004-1	Cc1cc(C)nc(-n2nc(-c3ccc(F)cc3)cc2O)n1	993	0.63000
SJ000550814-1	Cc1ccc(OCC(O)Cn2c3ccccc3n(CCN3CCOCC3)c2=N)cc1	991	0.95000
SJ000550472-1	CCN(CC)CCn1c2ccccc2n(CC(O)COc2ccccc2)c1=N	989	0.95000
SJ000550854-1	OC(Cn1c2ccc(Br)cc2c2cc(Br)ccc21)CN1CCCCC1	989	0.94000
SJ000550844-1	OC(CNc1ccccc1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	989	0.90000
SJ000550470-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)COc1ccc(Cl)cc1	988	0.95000
SJ000550845-1	OC(CNc1ccccc1)Cn1c2ccccc2c2ccccc21	988	0.91000
SJ000550957-1	COc1cccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2cc(OC)c(OC)c(OC)c2)c1	987	0.94667
SJ000550488-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccco3)C2)C1c1ccc(OC)c(OC)c1	987	0.85000
SJ000550376-1	CCOc1cc(C2C(C(=O)OCCc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	985	0.92000
SJ000551308-1	O=C(N/N=C/c1ccc(O)c([N+](=O)[O-])c1)c1[nH]ncc1I	984	0.37000
SJ000550400-1	COCCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)cc3)C2)C1c1ccc(Cl)cc1	983	0.93000
SJ000551667-1	Cc1cc(Oc2c(=O)c3ccc(O)c(CN(C)C)c3oc2C(F)(F)F)cc(C)c1Cl	983	0.85000
SJ000550475-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)COc1ccccc1	980	0.94000
SJ000550667-1	CC(C)(CO)NCC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	980	0.92000
SJ000551296-1	Cc1cc(C)c(C)c(Oc2cc(NC(=O)c3c(I)cnn3C)cc([N+](=O)[O-])c2)c1	980	0.62000
SJ000551685-1	COc1ccc(Oc2c(=O)c3ccc(O)c(CN4CCCC(C)C4)c3oc2C(F)(F)F)cc1	979	0.90000
SJ000551427-1	Cc1cc(Nc2ccccc2)nc(N2CCOCC2)n1	978	0.89000
SJ000550686-1	Cc1ccc(C)c(NCC(O)Cn2c3ccccc3c3ccccc32)c1	977	0.89000
SJ000550372-1	CCOc1cc(C2C(C(=O)OCc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	976	0.88000
SJ000550817-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)c1cccc(Br)c1	975	0.89000
SJ000550668-1	COCCNCC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	974	0.93000
SJ000550389-1	CCOc1cc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)cc(Cl)c1O	971	0.90000
SJ000551080-1	OC(CNCc1cccc(Cl)c1)c1ccccc1	971	0.84000
SJ000551694-1	Cc1ccc(-c2nc3cc(C)ccc3[nH]2)cc1	970	0.88000
SJ000550538-1	COc1cc2c(cc1OC)C(c1ccc(Cl)cc1Cl)NCC2	970	0.75000
SJ000550474-1	N=c1n(CCN2CCOCC2)c2ccccc2n1CC(O)COc1ccc(Cl)cc1	969	0.93000
SJ000550811-1	Cc1cccc(OCC(O)Cn2c3ccccc3n(CCN3CCOCC3)c2=N)c1	968	0.93000
SJ000550671-1	CCCCOCC(O)Cn1c2ccccc2c2ccccc21	968	0.89000
SJ000551673-1	CCC1CCCCN1Cc1c(O)ccc2c(=O)c(Oc3ccc(OC)cc3)c(C(F)(F)F)oc21	968	0.87000
SJ000550683-1	OCCNCC(O)Cn1c2ccc(I)cc2c2cc(I)ccc21	966	0.93000
SJ000550865-1	CCn1c2ccccc2c2cc(CNC3CCCCC3)ccc21	965	0.93000
SJ000550722-1	Oc1ccc(Cl)cc1CN1CCCC(N2CCCC2)C1	964	0.79000
SJ000550930-1	Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Nc1cc(C)cc(C)c1	963	0.92000
SJ000550385-1	COc1ccc(C2CC(=O)C3=C(C2)NC(C)=C(C(=O)OCCOc2ccccc2)C3c2ccc(Cl)c(Cl)c2)cc1	963	0.87000
SJ000550463-1	COc1ccc(C(O)Cn2c3ccccc3n(CCN3CCCCC3)c2=N)cc1	963	0.87000
SJ000550428-1	CCOCCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(OCC)cc1	962	0.92000
SJ000550672-1	COc1ccc(Cl)cc1NCC(O)Cn1c2ccccc2c2ccccc21	962	0.84000
SJ000550393-1	CCOCCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(O)cc1	961	0.92000
SJ000550842-1	Cc1cccc(NCC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)c1	961	0.91000
SJ000551762-1	CCOC(=O)C1=C(C)N=c2sc(=Cc3c(OC)ccc4ccccc43)c(=O)n2C1c1ccc2c(c1)OCO2	961	0.88000
SJ000550859-1	OCC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	960	0.92000
SJ000550675-1	Cc1cccc(NCC(O)Cn2c3ccc(Br)cc3c3cc(Br)ccc32)c1C	958	0.84000
SJ000551104-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(C)cc2)C3)c(OC)cc1Br	957	0.92000
SJ000550427-1	CCOc1cc(C2C(C(=O)OCc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccccc2)C3)ccc1O	957	0.87000
SJ000550445-1	N=c1n(CCN2CCOCC2)c2ccccc2n1CC(O)COc1ccccc1	956	0.92000
SJ000550466-1	CCOc1ccc(C(O)Cn2c3ccccc3n(CCN3CCCCC3)c2=N)cc1	956	0.87000
SJ000550812-1	COc1ccc(OCC(O)Cn2c3ccccc3n(CCN3CCOCC3)c2=N)cc1	955	0.92000
SJ000550387-1	CCOc1cc(C2C(C(=O)OCCc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccccc2)C3)ccc1O	955	0.91000
SJ000550871-1	OC(Cn1c2ccc(I)cc2c2cc(I)ccc21)CN1CCCCC1	954	0.92000
SJ000550542-1	CCOC(=O)c1cnc2ccc(OC)cc2c1Nc1ccc(C(C)=O)cc1	954	0.91000
SJ000550676-1	Cc1cccc(NCC(O)Cn2c3ccccc3c3ccccc32)c1C	954	0.86000
SJ000550426-1	CC1=C(C(=O)OCCOc2ccccc2)C(c2cccc(Cl)c2)C2=C(CC(c3ccc(Cl)cc3)CC2=O)N1	953	0.86000
SJ000550909-1	O=C(Nc1ccc(Cl)c(-c2nc3ccccc3[nH]2)c1)c1cccnc1	953	0.64000
SJ000550900-1	OC(CNCCOc1ccccc1)Cn1c2ccccc2c2ccccc21	952	0.92000
SJ000550910-1	CCC(C(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccccc1	950	0.66000
SJ000550571-1	CCOC(=O)c1cnc2c(C)cccc2c1Nc1cccc(C(C)=O)c1	949	0.91000
SJ000551305-1	Cc1cc(C)cc(Oc2cc(NC(=O)c3c(I)cnn3C)cc([N+](=O)[O-])c2)c1	949	0.59000
SJ000550805-1	COc1cc2nc(/C=C/c3ccco3)oc(=O)c2cc1OC	948	0.45000
SJ000550543-1	CCOC(=O)c1cnc2c(OC)cccc2c1Nc1cccc(C(C)=O)c1	945	0.91000
SJ000550529-1	COc1ccc(O)c(C2NCCc3cc(OC)c(OC)cc32)c1	945	0.87000
SJ000550874-1	CCn1c2ccccc2c2cc(CN3CCCC(O)C3)ccc21	944	0.91000
SJ000550371-1	CC1=C(C(=O)OCCOc2ccccc2)C(c2ccc(Cl)cc2)C2=C(CC(c3ccc(Cl)cc3)CC2=O)N1	944	0.85000
SJ000550770-1	OCCC1CN(Cc2cc(Cl)ccc2O)CCN1CCCc1ccccc1	944	0.76000
SJ000550841-1	Cc1ccc(NCC(O)Cn2c3ccccc3c3ccccc32)cc1	943	0.91000
SJ000551167-1	Cc1cccc(C2(c3cccc(C)c3)CC2C(=O)Nc2cc([N+](=O)[O-])ccc2O)c1	943	0.79000
SJ000550840-1	Cc1ccc(NCC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)cc1	942	0.91000
SJ000550450-1	N=c1n(CCO)c2ccccc2n1CCN1CCCCC1	941	0.89000
SJ000550425-1	COc1ccc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)cc1	941	0.85000
SJ000550525-1	CCOc1cc2c(cc1OCC)C(c1ccc(O)cc1)NCC2	940	0.85000
SJ000551079-1	COc1cccc(CNCC(O)c2ccccc2)c1	940	0.74000
SJ000550878-1	OC(CNc1cccc2ccccc21)Cn1c2ccccc2c2ccccc21	939	0.91000
SJ000550888-1	c1ccc2[nH]c(-c3cccc(-c4nc5ccccc5[nH]4)n3)nc2c1	938	0.84000
SJ000550816-1	C=CCn1c2ccccc2n(CC(O)c2cccc(Br)c2)c1=N	937	0.87000
SJ000551340-1	Cn1ncc(I)c1C(=O)Nc1cc(Oc2ccc(Cl)cc2)cc([N+](=O)[O-])c1	937	0.57000
SJ000550374-1	CCOc1ccccc1C1C(C(=O)OCCOc2ccccc2)=C(C)NC2=C1C(=O)CC(c1ccc(Cl)cc1)C2	936	0.85000
SJ000550381-1	COc1cc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccccc2)C3)ccc1O	935	0.89000
SJ000551714-1	CCOc1cccc(CN2CCCn3c4ccc(C)cc4c4c3C2CCC4)c1O	935	0.61000
SJ000550520-1	CCOC(=O)c1cnc2ccc(OC)cc2c1Nc1ccc(N(C)C)cc1	934	0.90000
SJ000550467-1	C=CCn1c2ccccc2n(CC(O)c2ccc(Br)cc2)c1=N	933	0.90000
SJ000550901-1	c1ccc2[nH]c(-c3cccc(NCc4cccnc4)c3)nc2c1	933	0.77000
SJ000550558-1	CCOC(=O)c1cnc2ccc(C)cc2c1Nc1ccc(OC)cc1	932	0.90000
SJ000551664-1	CN(C)Cc1c(O)ccc2c(=O)c(Oc3ccc(Br)cc3)c(C(F)(F)F)oc21	932	0.87000
SJ000550396-1	COc1ccc(C2CC(=O)C3=C(C2)NC(C)=C(C(=O)OCCOc2ccccc2)C3c2cccc(Br)c2)cc1	932	0.85000
SJ000551081-1	OC(CNCc1ccc(-c2ccccc2)cc1)c1ccccc1	931	0.83000
SJ000550876-1	OC(CNc1ccc(Cl)cc1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	929	0.90000
SJ000551180-1	O=C(Nc1ccc([N+](=O)[O-])cc1Br)C1CC1(c1ccccc1)c1ccccc1	929	0.47000
SJ000550934-1	Cc1cc(Nc2ccccc2)n(-c2nc(C)cc(C)n2)n1	928	0.85000
SJ000551341-1	Cc1cccc(Oc2cc(NC(=O)c3c(I)cnn3C)cc([N+](=O)[O-])c2)c1	928	0.59000
SJ000550541-1	CCOC(=O)c1cnc2c(OC)cccc2c1Nc1ccc(C(=O)O)cc1	925	0.89000
SJ000550567-1	CCOC(=O)c1cnc2c(OC)cccc2c1Nc1ccccc1C(=O)O	924	0.89000
SJ000550368-1	CC1=C(C(=O)OCCOc2ccccc2)C(c2ccc(F)cc2)C2=C(CC(c3ccccc3)CC2=O)N1	922	0.84000
SJ000551011-1	Cc1nn(-c2nc(C)cc(O)n2)c(C)c1Oc1ccccc1O	922	0.68000
SJ000550401-1	COc1cccc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)c1	919	0.87000
SJ000550685-1	COc1ccc(NCC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)c(OC)c1	919	0.80000
SJ000550877-1	OC(CNc1cccc2ccccc21)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	918	0.89000
SJ000551169-1	O=C(Nc1ccc([N+](=O)[O-])cc1O)C1CC1(c1ccccc1)c1ccccc1	918	0.80000
SJ000550394-1	COc1ccc(C2CC(=O)C3=C(C2)NC(C)=C(C(=O)OCCOc2ccccc2)C3c2cccc(OC)c2)cc1	917	0.86000
