#Identifier	SMILES	Max_Rank	Max_Probability
4371639	CCCCCCCCCn1ccc(=N)cc1	4545060	1.00000
4370074	CCCCCCCCn1ccc(=N)cc1	4545059	1.00000
16839487	CCN1CCN(CC1)c1nc(Nc2ccc(cc2)F)c2c(n1)n(nc2)c1ccccc1	4545059	1.00000
3739477	O=C1NC2=C(C(C1)c1ccc(cc1)[N+](=O)[O-])C(=O)CC(C2)c1ccc(cc1)F	4545058	1.00000
16839463	CN1CCN(CC1)c1nc(Nc2ccc(cc2)F)c2c(n1)n(nc2)c1ccccc1	4545058	1.00000
44738281	CC(Cc1noc(c1)C(=O)NC(c1ccccc1)Cn1cccn1)C	4545058	0.99935
26252453	N#CC1=C([O-])O[C@@]([C@@H]([C@H]1c1ccc(c(c1)Cl)Cl)[n+]1cccc2c1cccc2)(O)c1ccccc1	4545057	0.99934
17418800	C=CC[n+]1c(ccc2c1ccc(c2)C)C=c1ccn(cc1)CC	4545053	0.99934
46445944	C#CCOc1ccc(cc1)/C=c/1\sc2=NC3=C(C(n2c1=O)c1ccc(cc1)C)CCc1c3cccc1	4545051	0.99932
6724332	N#Cc1c(C)cc([n+]2c1SCC2C(c1ccccc1)Br)C	4545049	0.99932
26234607	[O-][N+](=O)c1ccc(o1)/C=C/Sc1n[nH]c(=O)n1Cc1ccccc1	4545046	0.99930
2743043	O=C(c1cc2ccccc2cc1O)NN=c1c2ccccc2[nH]c2c1cccc2	4545045	0.99930
16162165	CCN(CCNC(=O)c1ccc2c(c1)sc1n2cc(n1)c1ccc(cc1)F)CC	4545040	1.00000
16103950	CCCCC(C(c1ccccc1)CN1CCOCC1)(c1ccc(cc1)F)O	4545039	1.00000
16103756	CCCCC(C(c1ccccc1)CN1CCOCC1)(c1ccc(cc1)C)O	4545038	1.00000
1998986	OC(Cn1c2ccc(cc2c2c1ccc(c2)Cl)Cl)CNC1CCCC1	4545037	1.00000
16078908	CCN(c1sc(nc1S(=O)(=O)c1ccc(cc1)C)S(=O)(=O)CC)CC	4545032	1.00000
30334442	O=C(C(Cl)(Cl)Cl)Nc1nn2c(=NC(=CC2c2ccccc2)c2ccccc2)[nH]1	4545031	0.99922
6165775	[O-][N+](=O)c1ccc2c(c1)ccc1c2C=CC2(O1)N(c1ccccc1)c1c(C2(C)C)cccc1	4545030	0.99921
16078838	CCCCNc1sc(nc1S(=O)(=O)c1ccc(cc1)C)S(=O)(=O)CC	4545029	1.00000
1866611	CCOc1ccc(cc1)Nc1cc(C)nc2c1cc(OCC)cc2	4545028	1.00000
16078824	CCS(=O)(=O)c1sc(c(n1)S(=O)(=O)c1ccc(cc1)C)N1CC(C)OC(C1)C	4545027	1.00000
16078822	CCS(=O)(=O)c1sc(c(n1)S(=O)(=O)c1ccc(cc1)C)N1CCOCC1	4545026	1.00000
16078344	Cc1cc(ccc1C)n1ncc2c1ncn(c2=O)Cc1cccc(c1)C(F)(F)F	4545024	1.00000
16078224	O=c1n(cnc2c1cnn2c1ccccc1)Cc1cccc(c1)C(F)(F)F	4545023	1.00000
1488929	N=C(N1N=CCC1c1ccccc1)NC(=N)N	4545023	0.99919
4372189	N#CC(=c1ccc2=NC3(Nc2c1)CCCCC3)C#N	4545014	0.99914
15931600	NC1=NC(N(C(=N1)N)c1ccc(cc1)N(C)C)(C)C	4545013	1.00000
35766310	Cc1nnc(n1C)C(c1ccccc1)Nc1nc(nc2c1c(cs2)c1ccccc1)c1ccccn1	4545011	0.99913
10073930	CCCCC(C(c1ccc(cc1)Cl)CN1CCOCC1)(c1ccc(cc1)F)O	4545010	1.00000
9862535	COc1ccc(cc1)C(=O)Nc1nonc1c1ccc(c(c1)OC)OC	4545009	1.00000
9826215	CCOc1cc(ccc1OCC)c1nonc1NC(=O)c1ccc(cc1)C	4545008	1.00000
9417026	CCCN1C(=O)c2c(C1c1cccc(c1)OC)c(n[nH]2)c1c(C)cc(cc1O)C	4545007	1.00000
6740886	O=C1C=C(C[C@@H]([C@H]1n1nnc2c1cccc2)c1cccc(c1)[N+](=O)[O-])c1ccccc1	4545006	0.99910
5674701	COc1ccccc1CCN1COc2c(C1)cc1c(c2C)oc(=O)c(c1C)C	4545002	1.00000
4729939	COc1cc(ccc1OC)c1cnoc1c1ccc(cc1O)OCc1cccc(c1)Cl	4545002	0.99908
26304289	Fc1ccc(cc1)C1C2=C(N=c3n1c(=O)/c(=C/c1cccc4c1cccc4)/s3)c1c(CC2)cccc1	4545001	0.99908
1239350	OC(Cn1c2ccc(cc2c2c1ccc(c2)Cl)Cl)CNC1CCCCC1	4544999	1.00000
1206548	CN(c1ccc(cc1)c1n(C)c2c([n+]1C)cccc2)C	4544998	1.00000
5452650	CCN(S(=O)(=O)c1ccc(cc1)C(=O)NNc1sc2c(n1)c(C)ccc2)CC	4544996	1.00000
4409593	CCN(CCn1c(=N)n(c2c1cccc2)CC(c1ccc(c(c1)Cl)Cl)O)CC	4544994	1.00000
46377467	Cc1ccc(c(c1)C)/C(=N/NC(=O)c1cc2c(n1C)cccc2)/c1ccccc1	4544992	0.99902
2642211	CCCN1C(=O)c2c(C1c1ccc(cc1)OC)c(n[nH]2)c1c(C)cc(cc1O)C	4544990	1.00000
2635016	CCCCC(C(c1ccccc1)CN1CCOCC1)(c1ccccc1)O	4544989	1.00000
2131587	N/N=C/1\NC(C)(C)Cc2c1cc(OC)c(c2)OC	4544989	0.99900
24358767	CN1CCN(CC1)CCCNC(=S)Nc1ccc2c(c1)c(C)cc(n2)N1CCN(CC1)C	4544981	1.00000
24490217	FC(Sc1ncccc1C(=O)Nc1scc(n1)c1ccc[nH]1)F	4544981	0.99893
4426216	CCCCCCCCCn1c2CCCc2c(=N)c2c1CCCC2	4544980	0.99893
2089448	CCCCCCCCn1c2CCCc2c(=N)c2c1CCCC2	4544979	0.99893
1834420	O=C1Nc2c(C31N=C(N=c1n3c3=Nc4c(c3n1)cccc4)N1CCCc3c1cccc3)cccc2	4544978	0.99890
26130261	COc1cc2nc([nH]c(=O)c2cc1OC)/C(=C/c1ccc(o1)c1cccc(c1)[N+](=O)[O-])/Cl	4544966	0.99884
35186293	N#Cc1ccc(c(c1)OC)Oc1nc2n(c1[N+](=O)[O-])cccc2	4544965	0.99883
2076015	Oc1ccc(cc1)/C=C/c1cc[n+](cc1)C	4544961	1.00000
46407413	CCn1/c(=C/C=c\2/sc3n(c2=O)c2c(n3)cccc2)/sc(c1c1ccccc1)c1ccccc1	4544959	0.99879
45562762	N#CC(=c1s/c(=C\c2cccs2)/c(=O)n1c1ccc(cc1)F)C#N	4544957	0.99876
1253672	CN1c2cc(ccc2N(C1(C)c1ccccc1)C)[N+](=O)[O-]	4544955	0.99873
26356775	Cc1ccc(cc1)c1nn(c(c1)/C=C/C12NC(=O)CCN1c1c(C2(C)C)cccc1)c1ccccc1	4544954	0.99872
664426	FC(Oc1ccccc1C(=O)C[n+]1cc(n2c1CCCCC2)c1ccccc1)F	4544952	0.99872
1866605	CCOc1ccc2c(c1)c(Nc1cccc(c1)OC)cc(n2)C	4544943	1.00000
1300932	CCN1c2cc(ccc2N(C1(C)c1ccccc1)CC)[N+](=O)[O-]	4544943	0.99864
1866601	CCOc1ccc2c(c1)c(Nc1ccc(cc1)O)cc(n2)C	4544942	1.00000
1865519	CCOc1ccc(cc1)Nc1cc(C)nc2c1cc(OC)cc2	4544940	1.00000
2597429	Fc1ccc(cc1)C1CC(=O)C2=C(C1)NC(=O)CC2c1ccc(cc1)F	4544935	1.00000
17418802	C=CC[n+]1c(C=c2ccn(cc2)CC)cc(c2c1cccc2)C	4544930	0.99853
26330308	N#CC(=c1[nH]c2c(/c/1=C\c1ccccc1)cccc2)C#N	4544929	0.99853
48316189	Cc1nc([nH]c(=O)c1C)c1ccc(nc1)NCC1Cc2c1cccc2	4544927	0.99851
5789857	O=C(C(Cl)(Cl)Cl)Nc1csc(c1c1ccccc1)C(F)(F)F	4544925	0.99850
26437897	COc1cc(ccc1OC)/C=C\1/Oc2c(C1=O)ccc1c2CN(CO1)C[C@@H]1CCCN2[C@@H]1CCCC2	4544924	0.99849
36989962	N#CC(=c1sc(=Cc2ccc(s2)C)c(=O)n1c1ccc(cc1F)F)C#N	4544923	0.99849
36616161	OCCn1ncc2c1CN(C2)c1cc(NC2CC2)nc(n1)N	4544918	0.99846
45563330	N#CC(=c1s/c(=C/c2cccs2)/c(=O)n1c1ccc(cc1F)F)C#N	4544915	0.99846
43401352	O=C(C(C)(C)C)C=c1sc(=Cc2cnc3n2cc(Br)nc3)c(=O)[nH]1	4544911	0.99844
5789903	O=C(C(Cl)Cl)Nc1csc(c1c1ccccc1)C(F)(F)F	4544910	0.99843
1266064	OC(Cn1c2ccc(cc2c2c1ccc(c2)Cl)Cl)CNC(C)C	4544907	1.00000
12367132	Cc1cccc(c1)C(=O)N(c1nc2c(s1)cccc2F)Cc1cccnc1	4544906	1.00000
1105418	O=C(Nc1cc(Cl)cc(c1)Cl)Nc1ccc(c(c1)Cl)Cl	4544902	1.00000
644443	CCc1cc(c(cc1OC(C)C)O)c1n[nH]c(c1Oc1ccccc1)C	4544900	1.00000
35100472	Clc1ccc2c(c1)CC(O2)C(=O)Nc1scc(n1)c1ccccn1	4544900	0.99840
644387	CCCOc1cc(O)c(cc1CC)c1n[nH]c(c1Oc1ccccc1)C	4544899	1.00000
2985215	Cc1cc(ccc1C)c1csc2c1c(=O)n(c(n2)SCc1c(C)noc1C)c1ccccc1	4544899	0.99840
8196693	COc1cc(C)c(c(c1C(C)C)C)C(=S=O)S(=O)(=O)c1ccccc1	4544898	0.99839
9834128	CCOc1cc(ccc1OCC)c1nonc1NC(=O)c1ccccc1	4544893	1.00000
43394435	c1ccc(cn1)CN1CC(Cc2c1cccc2)n1cccn1	4544884	0.99823
2098668	COc1cc(ccc1OC)C1=Cc2cc(OC)c(cc2C(O1)C(Cl)(Cl)Cl)OC	4544882	0.99821
1280751	COc1ccc(cc1)C1=Cc2cc(OC)c(cc2C(O1)C(Cl)(Cl)Cl)OC	4544881	0.99821
1866599	CCOc1ccc2c(c1)c(Nc1cccc(c1)O)cc(n2)C	4544875	1.00000
9859571	CCOc1cccc(c1)C(=O)Nc1nonc1c1ccc(c(c1)OC)OC	4544874	1.00000
9860648	COc1ccc(cc1OC)c1nonc1NC(=O)c1ccccc1	4544873	1.00000
32501529	Cc1ccc(cc1)Nc1nc(Nc2ccc(cc2)NS(=O)(=O)c2cc(F)ccc2F)cc(n1)C	4544867	1.00000
45626028	N#CC(=c1s/c(=C/c2ccc(s2)C)/c(=O)n1c1ccccc1F)C#N	4544865	0.99813
655498	NC1=NC(N(C(=N1)N)c1ccccc1)(C)C	4544852	1.00000
9857279	COc1cc(ccc1OC)c1nonc1NC(=O)c1ccc(cc1)C	4544851	1.00000
15314024	OC(Cn1c2c(C)cc(cc2c(c1c1ccccc1)c1ccccc1)C)CN1CCc2c(C1)cccc2	4544850	0.99801
11331082	CCCC(C(c1ccccc1)CN1CCOCC1)(c1ccc(cc1)Cl)O	4544849	1.00000
26264483	Fc1ccc(cc1)NC(=O)/N=C(/N=c/1\sc2ccccc2c(=O)[nH]1)\N	4544848	0.99797
25825154	Fc1ccc(cc1)NC(=O)/N=C(/N=c\1/sc2ccccc2c(=O)[nH]1)\N	4544847	0.99797
45727267	FC(C(F)(F)F)(C(c1ccccc1)OP(=O)(O)C)F	4544842	0.99792
44227366	COc1ccc(cc1O)C1C2C(=NC(=O)N2c2ccc(cc2)Cl)Nc2c1cnn2C(C)(C)C	4544835	0.99790
1280753	CCOc1ccc(cc1)C1=Cc2cc(OC)c(cc2C(O1)C(Cl)(Cl)Cl)OC	4544833	0.99789
1325473	COc1ccc(cc1OC)c1oc2c3c1C=C(C(=O)c3ccc2C(C)(C)C)C(C)(C)C	4544832	0.99785
8229647	N=C(C(c1ccccc1)Cc1ccccc1)NCc1ccccc1	4544828	0.99782
48351900	Cc1ccc(cc1)S(=O)(=O)[O-].CC[n+]1c(/C=C/C=c/2\ccc3c(n2CC)cccc3)ccc2c1cccc2	4544827	0.99782
1253668	CN1c2ccccc2N(C1(C)c1ccccc1)C	4544822	0.99778
1978196	CCOc1cc(O)c(cc1CC)c1n[nH]c(c1Oc1ccccc1)C	4544821	1.00000
31200600	c1ccc(cn1)CNc1nc(NC2CC2)c2c(n1)cccc2	4544820	0.99776
5453044	CCN(S(=O)(=O)c1ccc(cc1)C(=O)NNc1sc2c(n1)c(C)cc(c2)C)CC	4544815	1.00000
17418277	CCn1ccc(=Cc2ccc3c([n+]2C)cc(cc3)C)cc1	4544813	0.99771
1299916	OC(Cn1c2ccccc2c2c1cccc2)CNC1CCCCC1	4544798	1.00000
6771818	Brc1cc(Br)c2c(c1)C(C)(C)OC(N2)C(Cl)(Cl)Cl	4544796	0.99758
8224271	CCCCCCCCCn1c2CCCc2c(=N)c2c1CCC2	4544793	0.99752
6313563	CCCCCCCCn1c2CCCc2c(=N)c2c1CCC2	4544792	0.99752
4422530	CCCCCCn1c2CCCc2c(=N)c2c1CCC2	4544791	0.99752
4821208	O=c1oc2c(C)c3OCN(Cc3cc2c(c1C)C)CCc1ccccc1	4544784	1.00000
3502411	Cc1cc(C)cc(c1)n1ncc2c1ncn(c2=O)Cc1cccc(c1)C(F)(F)F	4544779	1.00000
11985651	FC(c1ccc(cc1)Cn1cnc2c(c1=O)cnn2c1ccccc1)(F)F	4544779	0.99000
2895704	O=P(c1ccccc1)(c1ccccc1)OC(C(C(F)(F)F)(Cl)Cl)c1ccccc1	4544774	0.99740
26262273	N#CC1=C(S)N[C@]([C@@H]([C@H]1c1ccccc1[N+](=O)[O-])[n+]1cccc(c1)C)(C)O	4544771	0.99738
5563005	COc1ccc2c(c1)nc(s2)N(C(=O)c1ccc(cc1)F)Cc1cccnc1	4544769	0.99000
5453014	O=C(c1ccc(cc1)S(=O)(=O)N(C)C)NNc1sc2c(n1)c(C)c(cc2)C	4544768	0.99000
4502509	Ic1ccc(cc1)Nc1cc(C)nc2n1ncn2	4544767	0.99000
4823141	COc1ccc(cc1)CCN1COc2c(C1)cc1c(c2C)oc(=O)c(c1C)C	4544763	1.00000
1298841	OC(Cn1c2ccc(cc2c2c1ccc(c2)Cl)Cl)CNC(C)(C)C	4544761	1.00000
48286258	Ic1cnn(c1)CC(c1ccccc1F)O	4544756	0.99724
1112956	CSc1[nH]nc(c1c1ccccn1)NC(=O)c1ccc(cc1)C(C)(C)C	4544755	0.99723
45591882	COc1cccc2c1oc(c2)/C=C(/c1cc(=O)n2c(n1)ccc(c2)C)\Cl	4544753	0.99720
48291807	Cc1nnnn1C(C(=O)Nc1cccc(c1O)C)Cc1ccccc1	4544744	0.99710
5796501	Clc1ccc(c(c1)Cl)Oc1c(C)nc(nc1O)c1ccc(cc1)C(F)(F)F	4544741	0.99706
2381953	CCC(NCC(Cn1c2ccc(cc2c2c1ccc(c2)Cl)Cl)O)C	4544738	1.00000
1355930	CN(CCNc1c2CCCc2nc2c1cccc2)C	4544737	0.99000
1205434	O=C1OC(=C2c3ccccc3c3c2cccc3)c2c1cccc2	4544734	0.99699
29643978	Clc1ccc(cc1)c1cnc(n1Cc1ccccc1)SCc1nnnn1C1CC1	4544733	0.99698
6723447	N#CC1=C(S)NC(C(C1c1ccc(cc1)[N+](=O)[O-])[n+]1cccc(c1)C)(O)C1CC1	4544732	0.99696
5571529	CCOc1ccc(cc1)c1c(sc2n(n1C(=O)C)cnn2)C(=O)C	4544721	1.00000
9818665	CCOc1ccc(cc1)C1(O)NC(=O)NC(C1)(O)C(F)(F)F	4544718	0.99689
16103942	CC(CCC(C(c1ccccc1)CN1CCOCC1)(c1ccc(cc1)O)O)C	4544716	1.00000
1155579	O=C(Nc1ccccc1)Nc1ccc(c(c1)Cl)Cl	4544712	1.00000
1024614	O=C(Nc1cccc(c1)Cl)Nc1ccc(c(c1)Cl)Cl	4544711	1.00000
931628	O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(c(c1)Cl)Cl	4544710	1.00000
478038	O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(cc1)Cl	4544709	1.00000
2467130	Clc1cccc(c1)Nc1nc(N)c2c(n1)cccc2	4544693	1.00000
24358781	CN1CCN(CC1)c1cc(C)c2c(n1)ccc(c2)NC(=S)NCCCN1CCCC1	4544686	0.99000
4156117	O=c1cc2c(c(n1CCC1C=Nc3c1cccc3)C)c(=O)n(n2Cc1ccccc1)c1ccccc1	4544681	0.99651
4165589	Cc1cccc(c1)Cn1c2cc(=O)n(c(c2c(=O)n1c1ccccc1)C)CCC1C=Nc2c1cccc2	4544677	0.99646
2092320	N#CC1=C(N)OC(=C(C1c1ccccc1)n1cnc(n1)[N+](=O)[O-])c1ccccc1	4544676	0.99646
2910838	CC1Cc2c(N1P1(=O)C=C(OC(=C1)c1ccccc1)c1ccccc1)cccc2	4544670	0.99643
23004418	CC(CN1C(=C)C2=C(C1=O)Nc1n(C2c2ccccc2)nnn1)C	4544669	0.99643
20517330	Cc1cc(C)n2c(c1)nc(c2)CNC(=O)c1onc(c1)CC(c1ccccc1)C	4544668	0.99642
4407942	CCCn1c(=N)n(c2c1cccc2)CC(c1ccc(c(c1)Cl)Cl)O	4544665	1.00000
46407393	CC(=O)N(c1ccccc1)/C=C/1\C(=O)N(C(=S)N1c1ccccc1)C	4544665	0.99642
6829352	FC(Oc1ccc(cc1)c1c(sc2n(n1C(=O)C)cnn2)C(=O)C)F	4544656	1.00000
1333257	CCCCn1c(=N)n(c2c1cccc2)CC(c1ccc(c(c1)Cl)Cl)O	4544648	1.00000
5562781	COc1ccc(cc1)C(=O)N(c1nc2c(s1)cc(cc2)F)Cc1cccnc1	4544648	0.99000
45562866	N#CC(=c1s/c(=C/c2cccs2)/c(=O)n1c1ccc(cc1)CC)C#N	4544646	0.99618
43426614	Nc1nc(CSc2ncc(n2CC2CCCO2)c2ccccc2)nc(n1)Nc1ccccc1	4544645	0.99617
22735083	Fc1cccc(c1)C(=O)N(c1nc2c(s1)cccc2F)Cc1cccnc1	4544642	0.99000
3411513	Cc1cc(cc(c1C[n+]1c2cc(ccc2n2c1CCCCC2)C(F)(F)F)C)C(C)(C)C	4544636	0.99607
46565166	COc1cccc2c1ccn2CCC(=O)/N=c\1/scc([nH]1)c1ccccn1	4544629	0.99602
6405055	COc1ccc(cc1)C1CC(=C2C(=Nc3ccccc3N(C2c2cccc(c2)F)C(=O)CCl)C1)O	4544623	0.99592
2208634	Cc1ccc(o1)c1csc2c1c(=O)n(c(n2)SCc1c(C)noc1C)c1ccccc1	4544608	0.99578
31480238	CC[n+]1c(/C=C\2/C=C(/C=C/N(c3ccccc3)C)C=C(O2)c2ccccc2)sc2c1cccc2	4544600	0.99571
206999122	COc1c(cccc1OC)/C=C/1\Oc2c(C1=O)ccc1c2CN(CO1)C[C@@H]1CCCN2[C@@H]1CCCC2	4544597	0.99568
44556838	Clc1cc(NC2CCN(CC2)CC2CCCC2)nc(n1)N	4544596	0.99567
44515745	O=C(c1c(c2ccccc2)n(c2c1cccc2)c1ccccc1)NP(=O)(O)O	4544595	0.99567
32286993	COC(=O)C(Cc1cccc(c1)C(F)(F)F)(Br)C	4544593	0.99565
42903945	CCC(c1noc(c1)C(=O)Nc1ccccc1Cn1cncn1)CC	4544586	0.99560
8253469	C=CCC(c1onc(c1I)C)Cc1onc(c1I)C	4544582	0.99557
32076239	Fc1ccc(c(c1)C(Cn1ccnc1c1cccc(c1)[N+](=O)[O-])O)F	4544578	0.99552
36609769	CC#CCn1ccc(n1)c1cccc(c1)c1cncnc1	4544550	0.99524
